"id","human_readable_id","covariate_type","type","description","subject_id","subject_type","object_id","object_type","status","start_date","end_date","source_text","text_unit_id","document_ids","n_tokens"
"1cc44f14-79d1-40d0-802c-550baab2fae3","1","claim","STOCK TRADING","MBS thông báo triển khai dịch vụ giao dịch chứng khoán lô lẻ không qua sàn trên các kênh giao dịch online của MBS","QUÝ KHÁCH HÀNG","","MBS","","TRUE","NONE","NONE","""Để thuận tiện cho việc giao dịch chứng khoán lô lẻ của quý khách hàng, MBS thông báo triển khai dịch vụ giao dịch chứng khoán lô lẻ không qua sàn trên các kênh giao dịch online của MBS.""","72c428d19c253035db6c6e314742ef8c",['d1d8f00369755e0157bedf841fd57ee7'],300
"f8144ad3-972a-4322-97cc-ddf33cc0097d","2","claim","STOCK TRADING","MBS thông báo triển khai dịch vụ giao dịch chứng khoán lô lẻ không qua sàn trên các kênh giao dịch online của MBS","MBS","","NONE","","TRUE","NONE","NONE","""Để thuận tiện cho việc giao dịch chứng khoán lô lẻ của quý khách hàng, MBS thông báo triển khai dịch vụ giao dịch chứng khoán lô lẻ không qua sàn trên các kênh giao dịch online của MBS.""","72c428d19c253035db6c6e314742ef8c",['d1d8f00369755e0157bedf841fd57ee7'],300
"959c8b7b-2770-4fd0-a80b-083373b31559","3","claim","STOCK TRADING","MBS implements a stock trading service for customers who have registered for online retail stock trading services. MBS purchases individual stocks on the HSX and HNX exchanges. Customers can sell individual stocks on Fridays by logging into S24/MBS Mobile App and placing orders from 8 am to 5:30 pm. The transaction price is the floor price of the stock on the completion date of the transaction on the MBS system (after VSD completes the transfer of ownership of the securities to MBS). Fee applied: 0.45% of the actual value of the individual stock.","ORGANIZATION","","MBS","","TRUE","NONE","NONE","","8574f3834cc035915cdfb9d2eedd0dc1",['d1d8f00369755e0157bedf841fd57ee7'],300
"8da5c012-47ec-417e-b4e9-01213aeb2e7d","4","claim","","","","","","","","","","","eab95c5e8ff4164dcfcbe12e60dd94ce",['d1d8f00369755e0157bedf841fd57ee7'],300
"007eae33-b6dc-4724-9e73-0a17719043a8","5","claim","ONLINE TRADING SYSTEM","MBS provides online securities trading services to customers according to the license issued by the State Securities Commission","MBS","","NONE","","TRUE","NONE","NONE","Giới thiệu hệ thống giao dịch trực tuyến của MBS","1d3c82fc7b0630a6c46863b979a2af4c",['d1d8f00369755e0157bedf841fd57ee7'],300
"419889f6-41ff-4a94-8121-7a45b17ea7d5","6","claim","STOCK REPURCHASE","""MBS does not repurchase individual shares of MBB, shares of the company and group, and shares that are about to be delisted, restricted trading shares, or shares outside the purchase list at different periods""","MBS","","NONE","","TRUE","NONE","NONE","""MBS không mua lại cổ phiếu lô lẻ MBB, các cổ phiếu của công ty cùng tập đoàn và các cổ phiếu sắp bị hủy niêm yết, cổ phiếu thuộc diện hạn chế giao dịch hoặc các cổ phiếu ngoài danh mục thu mua từng thời kỳ""","1d3c82fc7b0630a6c46863b979a2af4c",['d1d8f00369755e0157bedf841fd57ee7'],300
"5fef1e3a-aa79-49b2-850c-bf6f0a47b31e","7","claim","STOCK REPURCHASE PROCESS","""The completion time of the repurchase of individual shares is expected to be from 5 to 7 working days from the date the order is determined to ensure compliance with regulations on lot, order placement time, and documentation""","MBS","","NONE","","TRUE","NONE","NONE","""Thời gian hoàn thành xử lý thu mua cổ phiếu lô lẻ dự kiến từ 5 đến 7 ngày làm việc kể từ ngày lệnh được xác định bảo đảm các quy định về lô, thời gian đặt lệnh và hồ sơ""","1d3c82fc7b0630a6c46863b979a2af4c",['d1d8f00369755e0157bedf841fd57ee7'],300
"c1d3552b-c02b-49f2-a2d4-3ce0ad50b457","8","claim","RISK DISCLOSURE","Introduction of MBS's online trading system","MBS","","NONE","","TRUE","NONE","NONE","Bản công bố rủi ro","1d3c82fc7b0630a6c46863b979a2af4c",['d1d8f00369755e0157bedf841fd57ee7'],300
"f329aab1-4da7-4e69-bf45-b9c6dbe2de9d","9","claim","TRADING SYSTEM","Công ty CP Chứng khoán MBS cung cấp dịch vụ giao dịch chứng khoán trực tuyến cho Khách hàng theo Giấy phép được Ủy ban chứng khoán Nhà nước cấp có hiệu lực tại thời điểm cung cấp dịch vụ","CÔNG TY CP CHỨNG KHOÁN MBS","","ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC","","TRUE","NONE","NONE","Giới thiệu hệ thống giao dịch trực tuyến của MBS","9ea072a756077acc1c0b5f1c59da3857",['d1d8f00369755e0157bedf841fd57ee7'],300
"a0b2371c-55e8-45b6-96e4-e23856b8d6a6","10","claim","RISK WARNING","""Hệ thống giao dịch trực tuyến của MBS mang lại sự thuận tiện, linh hoạt, giúp khách hàng thực hiện giao dịch từ xa qua các phương tiện điện thoại, internet và các phương tiện trực tuyến khác một cách chủ động và nhanh chóng qua đó giúp Khách hàng tiết kiệm thời gian và chi phí""","CÔNG TY CP CHỨNG KHOÁN MBS","","NONE","","TRUE","NONE","NONE","Giới thiệu hệ thống giao dịch trực tuyến của MBS","9ea072a756077acc1c0b5f1c59da3857",['d1d8f00369755e0157bedf841fd57ee7'],300
"a204b7c7-a448-4079-88bd-88a9579a4ae1","11","claim","RỦI RO","""Khách hàng cam kết đã đọc và ý thức rõ ràng về những rủi ro có thể phát sinh bao gồm, nhưng không giới hạn: Lỗi kỹ thuật phát sinh từ hệ thống phần cứng, phần mềm của MBS không hoạt động; hệ thống gặp sự cố, bị tấ""","QUÝ KHÁCH HÀNG","","MBS","","TRUE","NONE","NONE","Khuyến cáo những rủi ro có thể phát sinh từ giao dịch trực tuyến","8778f2e1feedb2a804f63de12dfc56b3",['d1d8f00369755e0157bedf841fd57ee7'],300
"e0c80c88-8db9-4545-be30-78273653e0c6","12","claim","TECHNICAL FAILURES","""MBS may experience technical failures from hardware or software issues, system malfunctions, cyber attacks, unauthorized interventions, or virus infections causing disruptions in information exchange activities, leading to confusion, errors in customer identification, or affecting customer online transaction reception, processing, and execution""","MBS","","NONE","","SUSPECTED","NONE","NONE","""MBS may experience technical failures from hardware or software issues, system malfunctions, cyber attacks, unauthorized interventions, or virus infections causing disruptions in information exchange activities, leading to confusion, errors in customer identification, or affecting customer online transaction reception, processing, and execution""","fed1b4e2531fa3c89795c65da306e3cf",['d1d8f00369755e0157bedf841fd57ee7'],300
"c5c9705b-95d3-43a2-a553-b2a565b0e8ac","13","claim","NETWORK DISRUPTIONS","""There may be incidents and/or risks of network system disruptions due to transmission congestion, line breaks, limited bandwidth, or incidents""","NONE","","NONE","","SUSPECTED","NONE","NONE","""There may be incidents and/or risks of network system disruptions due to transmission congestion, line breaks, limited bandwidth, or incidents""","fed1b4e2531fa3c89795c65da306e3cf",['d1d8f00369755e0157bedf841fd57ee7'],300
"39dd5228-1268-42c1-b48c-6c0757a0a0e8","14","claim","TECHNICAL ISSUES","""Khách hàng bị ảnh hưởng bởi những sự cố và nguy cơ ngưng trệ hoạt động của hệ thống mạng do nghẽn đường truyền, đứt đường truyền, dung lượng đường truyền bị hạn chế hoặc những sự cố khách quan khác""","NGƯỜI DÙNG","","NONE","","SUSPECTED","NONE","NONE","Ch trực tuyến của Khách hàng bị ảnh hưởng","d03a5be917279f47816e4c9711cc5798",['d1d8f00369755e0157bedf841fd57ee7'],300
"1d001660-0c7e-4c7e-8062-aa810d4f5529","15","claim","TECHNICAL ISSUES","""Đường truyền kết nối từ MBS đến các Sở Giao dịch Chứng khoán bị lỗi, ngừng hoạt động, khiến cho giao dịch của Khách hàng bị chậm thực hiện, không được thực hiện hoặc bị bỏ sót, trùng lặp hay phát sinh lỗi do các nguyên nhân từ phía nhà cung cấp""","MBS","","SỞ GIAO DỊCH CHỨNG KHOÁN","","SUSPECTED","NONE","NONE","""Những sự cố và/hoặc nguy cơ ngưng trệ hoạt động của hệ thống mạng do nghẽn đường truyền, đứt đường truyền, dung lượng đường truyền bị hạn chế hoặc những sự cố khách quan khác""","d03a5be917279f47816e4c9711cc5798",['d1d8f00369755e0157bedf841fd57ee7'],300
"0934d88b-6b60-4313-a60c-3528eb07c5a4","16","claim","","","","","","","","","","","aca5193f0679c6672a279110869b8758",['d1d8f00369755e0157bedf841fd57ee7'],300
"fbeceea4-3cb8-4700-9af5-258ba95ee7f3","17","claim","","","","","","","","","","","7f0880f07529079291b15cc45b96a2de",['d1d8f00369755e0157bedf841fd57ee7'],300
"a36f6cbb-6bc4-42ca-98c5-bc3b154348b0","18","claim","SECURITY BREACH","Quý khách phát hiện người khác sử dụng mật khẩu truy cập và thực hiện các giao dịch trái phép","QUÝ KHÁCH HÀNG","","NONE","","SUSPECTED","NONE","NONE","""Trong trường hợp Quý khách phát hiện người khác sử dụng mật khẩu truy cập và thực hiện các giao dịch trái phép, xin vui lòng thông báo ngay cho MBS qua tổng đài 1900 9088 để Công ty có biện pháp xử lý kịp thời.""","670d5b8f163e15e36907bb41ad7fb981",['d1d8f00369755e0157bedf841fd57ee7'],300
"f341433b-fe0f-4d9b-9acd-d0dfb3dfad96","19","claim","SERVICE FEES","Trân trọng cảm ơn Quý Khách hàng đã tin tưởng lựa chọn dịch vụ Giao dịch trực tuyến tại Công ty cổ phần Chứng khoán MB","CÔNG TY CỔ PHẦN CHỨNG KHOÁN MB","","NONE","","TRUE","NONE","NONE","Trân trọng cảm ơn Quý Khách hàng đã tin tưởng lựa chọn dịch vụ Giao dịch trực tuyến tại Công ty cổ phần Chứng khoán MB.","670d5b8f163e15e36907bb41ad7fb981",['d1d8f00369755e0157bedf841fd57ee7'],300
"4fe17c46-9845-42ca-8d43-e57404d2993a","20","claim","SERVICE FEES","MBS charges service fees for stock/fund certificates/warrants with collateral through various trading channels","ORGANIZATION","","MBS","","TRUE","NONE","NONE","MBS charges service fees for stock/fund certificates/warrants with collateral through various trading channels","bfdf3977c46f0ead15f3f8c1c9c39f40",['d1d8f00369755e0157bedf841fd57ee7'],300
"b68e2e8d-d29a-48bb-bea6-4398b7ce801e","21","claim","SERVICE FEES","MBS charges service fees for stock/fund certificates/warrants with collateral through various trading channels","ORGANIZATION","","MBS","","TRUE","NONE","NONE","MBS charges service fees for stock/fund certificates/warrants with collateral through various trading channels","bfdf3977c46f0ead15f3f8c1c9c39f40",['d1d8f00369755e0157bedf841fd57ee7'],300
"1d9b53e3-0756-4027-b82b-5806865de0fc","22","claim","SERVICE FEES","Chuyên viên Môi Giới quản lý Tài khoản và chăm sóc 1:1","Chuyên viên Môi Giới","","NONE","","TRUE","NONE","NONE","Đối tượng khách hàng: KH có Chuyên viên Môi Giới quản lý Tài khoản và chăm sóc 1:1.","8a315092dad843d4bcaf2d09091fb3be",['d1d8f00369755e0157bedf841fd57ee7'],300
"34568302-7ddc-4e6f-8796-3e19a315969b","23","claim","SERVICE FEES","Phí dịch vụ theo Giá trị giao dịch","MBS","","NONE","","TRUE","NONE","NONE","DỊCH VỤ CÓ BROKER","8a315092dad843d4bcaf2d09091fb3be",['d1d8f00369755e0157bedf841fd57ee7'],300
"2a8a20fe-4d9a-4788-8919-db3c281a23ee","24","claim","SERVICE FEES","Phí dịch vụ theo Giá trị giao dịch","MBS","","NONE","","TRUE","NONE","NONE","DỊCH VỤ KHÁC","8a315092dad843d4bcaf2d09091fb3be",['d1d8f00369755e0157bedf841fd57ee7'],300
"4eef6caa-aaa5-4bb7-9363-8d39dda18df2","25","claim","SERVICE FEES","Lệnh đặt qua kênh App MBBank: Phí giao dịch và phí chăm sóc áp dụng theo thông báo của MBS từng thời kỳ","MBS","","NONE","","TRUE","NONE","NONE","DỊCH VỤ KHÁC","8a315092dad843d4bcaf2d09091fb3be",['d1d8f00369755e0157bedf841fd57ee7'],300
"a57071ef-1ccf-4518-8dcb-ae737c752b87","26","claim","SERVICE FEES","Trong trường hợp khách hàng sử dụng dịch vụ tư vấn chuyên sâu: Áp dụng phí theo thỏa thuận","MBS","","NONE","","TRUE","NONE","NONE","Trong trường hợp khách hàng sử dụng dịch vụ tư vấn chuyên sâu: Áp dụng phí theo thỏa thuận.","8a315092dad843d4bcaf2d09091fb3be",['d1d8f00369755e0157bedf841fd57ee7'],300
"84c25400-22a3-4efa-a4dc-af62a5c989c0","27","claim","FEE CHARGES","Áp dụng theo thông báo của MBS từng thời kỳ","ÁP DỤNG","","MBS","","TRUE","NONE","NONE","ăm sóc áp dụng theo thông báo của MBS từng thời kỳ","5bdccd63cc7c923ee576d653cc4f83b7",['d1d8f00369755e0157bedf841fd57ee7'],300
"3e30a1e5-fc1e-404d-a551-c3bf2497927f","28","claim","FEE CHARGES","Áp dụng phí theo thỏa thuận","ÁP DỤNG","","NONE","","TRUE","NONE","NONE","Trong trường hợp khách hàng sử dụng dịch vụ tư vấn chuyên sâu: Áp dụng phí theo thỏa thuận","5bdccd63cc7c923ee576d653cc4f83b7",['d1d8f00369755e0157bedf841fd57ee7'],300
"404b91cc-c9de-44ef-980c-21226e93daa8","29","claim","FEE CHARGES","""Trường hợp có thỏa thuận khác: áp dụng theo biểu từ 0,02%- 0,1%/ Tổng giá trị giao dịch/ Tài khoản dịch vụ""","THỎA THUẬN","","NONE","","TRUE","NONE","NONE","""Phí giao dịch trái phiếu: Trường hợp có thỏa thuận khác: áp dụng theo biểu từ 0,02%- 0,1%/ Tổng giá trị giao dịch/ Tài khoản dịch vụ.""","5bdccd63cc7c923ee576d653cc4f83b7",['d1d8f00369755e0157bedf841fd57ee7'],300
"16f11574-ae5f-421d-9bfd-d466075c7cce","30","claim","FEE CHARGES","Phí giao dịch trái phiếu cho đối với giao dịch trải nghiệm Nhà đầu tư chuyên nghiệp: 0.2%/Tổng giá trị giao dịch/Tài khoản dịch vụ","TRADE FEE","","NONE","","TRUE","NONE","NONE","Phí giao dịch trái phiếu: Phí giao dịch trái phiếu cho đối với giao dịch trải nghiệm Nhà đầu tư chuyên nghiệp: 0.2%/Tổng giá trị giao dịch/Tài khoản dịch vụ.","5bdccd63cc7c923ee576d653cc4f83b7",['d1d8f00369755e0157bedf841fd57ee7'],300
"6b12b0e0-c4af-40f3-a32d-23f2a6cbd8b2","31","claim","TRADE FEE","Bán cổ phiếu lẻ cho MBS: 0","BÁN CỔ PHIẾU LẺ","","MBS","","TRUE","NONE","NONE","Phí giao dịch lô lẻ: Bán cổ phiếu lẻ cho MBS: 0.","5bdccd63cc7c923ee576d653cc4f83b7",['d1d8f00369755e0157bedf841fd57ee7'],300
"0d58f937-d45e-4d5c-abe7-5b20a7c5e83b","32","claim","","","","","","","","","","","6715eef1712e0d946549e6681a259bd0",['d1d8f00369755e0157bedf841fd57ee7'],300
"a5abac45-a4bc-4e6c-93ae-4c10736de441","33","claim","TRANSACTION FEES","Transaction fees for securities trading apply to customers who comply with the standard securities trading fee schedule or comply with other applicable trading fee levels (if any)","ORGANIZATION","","NONE","","TRUE","NONE","NONE","Mức phí giao dịch chứng khoán áp dụng với Khách hàng tuân theo biểu phí giao dịch chứng khoán tiêu chuẩn hoặc tuân theo mức phí giao dịch áp dụng khác (nếu có)","125aaa8d948c6ad2f25489cd7366c153",['d1d8f00369755e0157bedf841fd57ee7'],300
"e6ffc8c7-d48e-4330-b8ee-041c1565ffe9","34","claim","ASSET FREEZING","""Processing of asset freezing and collateral. Fee level: 0.3% / Transaction value Minimum 100,000 VND Confirming the status of account freezing/release of collateral assets. Fee level: 50,000 VND / time, maximum 3 copies From the 4th copy, charge 100,000 VND / copy Securities release: Free""","NONE","","NONE","","TRUE","NONE","NONE","""Xử lý tài sản phong tỏa cầm cố. Mức phí: 0,3%/ Giá trị giao dịch Tối thiểu 100.000 VNĐ Xác nhận tình trạng phong tỏa/giải tỏa tài khoản/tài sản cầm cố. Mức phí: 50.000 VNĐ/ lần, tối đa 3 bản Từ bản thứ 4 thu 100.000 VNĐ/ bản Giải tỏa chứng khoán: Miễn phí""","125aaa8d948c6ad2f25489cd7366c153",['d1d8f00369755e0157bedf841fd57ee7'],300
"5b27bce9-0d67-462c-81a5-106b586656ac","35","claim","SECURITIES WITHDRAWAL","""Securities withdrawal fee: 100,000 VND / 1 dossier""","NONE","","NONE","","TRUE","NONE","NONE","3.5. Rút chứng khoán","125aaa8d948c6ad2f25489cd7366c153",['d1d8f00369755e0157bedf841fd57ee7'],300
"205f1e92-16ad-4d65-870c-bb899e8eb378","36","claim","SECURITIES TRANSFER","Securities transfer according to the request","NONE","","NONE","","TRUE","NONE","NONE","3.6. Chuyển khoản chứng khoán theo yê","125aaa8d948c6ad2f25489cd7366c153",['d1d8f00369755e0157bedf841fd57ee7'],300
"12577f01-2b6d-4041-b06b-4f6fa83a934d","37","claim","","","","","","","","","","","b7d7a176a30e0cad4e21d20d4ed670ba",['d1d8f00369755e0157bedf841fd57ee7'],300
"5a9c6bb5-dab2-4337-87ba-87e081539c6d","38","claim","TRANSFER OF RIGHTS","Transfer of rights to purchase additional shares was confirmed","ORGANIZATION","","NONE","","TRUE","NONE","NONE","Chuyển nhượng quyền đăng ký mua thêm","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"e1274127-f32a-4fad-bc81-2e13d297dc00","39","claim","OPENING/CLOSING ACCOUNT FEES","Account opening fee is free","NONE","","NONE","","TRUE","NONE","NONE","Phí mở TK: miễn phí.","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"f74b89de-3446-42e5-998f-3723d4bb6989","40","claim","INVESTOR ACCOUNT CLOSING FEES","""Investor account closing fee for domestic investors is 100,000 VNĐ/account""","NONE","","NONE","","TRUE","NONE","NONE","Phí đóng TK nhà đầu tư trong nước: 100.000 VNĐ/ tài khoản.","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"ee300f27-c280-452d-b5a5-fe82445cdd3e","41","claim","INVESTOR ACCOUNT CLOSING FEES","""Investor account closing fee for foreign investors is 1,000,000 VNĐ/account""","NONE","","NONE","","TRUE","NONE","NONE","Phí đóng TK nhà đầu tư nước ngoài: 1.000.000 VNĐ/ tài khoản.","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"5c37b731-4593-4b92-b927-d0402f45357e","42","claim","STOCK TRANSFER FEES","Stock transfer fee when closing account (if still in the account) is 5 VNĐ/ 10 shares","NONE","","NONE","","TRUE","NONE","NONE","Phí chuyển chứng khoán khi đóng (nếu còn trong TK): 5 VNĐ/ 10 cổ phiếu.","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"c17fdc08-03c2-4d37-9896-a9c8df470aa5","43","claim","ACCOUNT INFORMATION SEARCH FEES","""Account information search fee at the counter is 30,000 VNĐ/time""","NONE","","NONE","","TRUE","NONE","NONE","Biểu phí tra cứu thông tin tài khoản: Tại quầy Sao kê giao dịch tiền Từ 1 đến 2 năm kể từ ngày in sao kê. 30.000 VNĐ/lần Tối đa 2 bản. T�","1dab4da3dc6ce428ca1f1aff6469071c",['d1d8f00369755e0157bedf841fd57ee7'],300
"72dc7c42-a8eb-4321-bb40-158b63284594","44","claim","","","","","","","","","","","5f9d5c30d0a45936539e58a40065c8ab",['d1d8f00369755e0157bedf841fd57ee7'],300
"90ac8e37-624f-4582-a2e0-8f75f2695636","45","claim","SERVICE FEES","""Service fees for providing account balance confirmation to customers were confirmed to be 100,000 VNĐ per request, with a maximum of 3 copies. From the 4th copy onwards, an additional fee of 20,000 VNĐ per copy is charged""","ORGANIZATION","","NONE","","TRUE","NONE","NONE","Xác nhận số dư tài khoản theo yêu cầu Khách hàng
Xác nhận do Khách hàng lập
(Không phân biệt tiếng Việt/Tiếng Anh).","635eabb30b2c974b48872e2656108042",['d1d8f00369755e0157bedf841fd57ee7'],300
"1ffaed2c-0254-49e0-963f-a040654cd68f","46","claim","CUSTOMER REQUESTS","""Customers can request account balance confirmation, which will be confirmed by the customer themselves. The confirmation does not differentiate between Vietnamese and English languages""","PERSON","","NONE","","TRUE","NONE","NONE","""Gửi khi Khách hàng có yêu cầu, bao gồm:
Sao kê giao dịch tiền và giao dịch chứng khoán.""","635eabb30b2c974b48872e2656108042",['d1d8f00369755e0157bedf841fd57ee7'],300
