"id","name","type","description","human_readable_id","graph_embedding","text_unit_ids","description_embedding"
"b45241d70f0e43fca764df95b2b81f77","BÁN CHỨNG KHOÁN LÔ LẺ","DỊCH VỤ GIAO DỊCH","Bán chứng khoán lô lẻ là dịch vụ giao dịch chứng khoán không qua sàn trên các kênh giao dịch online của MBS",0,"",['72c428d19c253035db6c6e314742ef8c'],"[ 0.01950796  0.00919925 -0.00796138 ...  0.01919978  0.00469208
  0.01551186]"
"4119fd06010c494caa07f439b333f4c5","MBS","CÔNG TY CHỨNG KHOÁN","""MBS, also known as Công ty CP Chứng khoán MBS, is a leading stock brokerage company in Vietnam. They act as an intermediary for fee collection on behalf of MB Bank and other banks simultaneously. MBS implements policies and regulations in derivative securities trading, executes transactions and contracts with customers, and makes amendments to trading terms and conditions. They directly receive and process customer information and data, provide account opening and securities trading services, and apply measures to protect personal data. MBS continuously updates search models for new securities to meet various customer demands. They use cookies and other technologies to enhance customer internet access and provide convenient access to MBS applications, products, and services. MBS ensures compliance with legal and regulatory requirements related to customer data transfer. They have developed an eKYC solution to simplify customer transactions.""",1,"","['008d65e4640a5208f1016c02bde466fa' '0155a5af5c1988637b742a0797735194'
 '016f43c5ba92b8259d4a288f96a46817' '01a44471658f608d573d20b284b08638'
 '02d2277b6e803b3a6f72b3721eb23490' '0318240c7b8fd392bf7ac9b77955c1bf'
 '040eeb0720e09da6eb2c8c738363f73b' '07ee7a0c9129745b5e378841be05c2ae'
 '084712776af45fb46dcf1027340a40b7' '0b7912396c8cde985ddee6dc17ec0d4f'
 '0e6d1961c112676304a1c82938f647f0' '0ef90d46880110c9301c8eb4b21ebb44'
 '0f8aa8ebfb90aaa521f8729d6eebd88a' '10c4087ea9328fcec618be8c8c72a545'
 '1170f02c4f72abe944971b085d7e2626' '12d1f91e89d082920c89bcdd2f7660ec'
 '15e19a9eed9e792a37f0ad41d3a965bd' '1a7a2ff68d41451fd234f3b95d8f9438'
 '1b7afcab69384f4109d8537750df26a0' '1cd97c98e1c0d5f114e9004dbdea93ea'
 '1d3c82fc7b0630a6c46863b979a2af4c' '1dc33c657628dd4ef956950e220b70da'
 '1fb6362cb4b546e723baef4dcb5c1be5' '202265b0fffd28a9b77f9e17d1fcc200'
 '20e0df85ac24e24c4e87ae59c728636a' '2416bbdc682287235364cc5dcf3b768c'
 '241ba511a6b267992f84019bcafa5146' '25fe70f4e78e841093d4e470427c5217'
 '26827ec7b673b1b365b796c999c26d3c' '26952620749ea86364db720687c3f0b2'
 '27b41eca87bd22a28604791bb17dbdbc' '29750a46f9f48a342b820405acb02ca8'
 '2b16421c02f2ac235ddc41778b2e16f2' '2bac8cd2c646865c07a176576b25a409'
 '2bd9d64dccdbf2ad7cb29afe2ccc3479' '2bef9f2520b250df2955e1148e863a15'
 '2c3ae7491cabfdc2946c79ea584fb1ca' '2c4f225a4026bac08c45411f5f164b08'
 '2ca4dd87df7a7297bd3a223b08f539bd' '2d8598614a3b2a6df74b101ab9d9f3db'
 '2e9c77aefcb96dfde90c451bba99ea10' '3405d57ce2cb8930da5dfb2d59f15ce1'
 '3df7788c67d82eb373cc637094d93edd' '3f8b6d62e8bb7c6f21608de7fea4ba02'
 '40935643bba261a08331db8f80b4daff' '43fe3eabe57a1961a64491c86cb08d67'
 '4a056777579e17ab8df83067d9738864' '4afd356aec4d6f5d391159dd033f2e2b'
 '4b2c53355f86a10ae990338ebcb9c1cf' '4d28b35e2fd1fe04534b8fe505fb07cc'
 '4de94a9646e4fa0e3488ab9431283633' '4e5d43d52ee94db71358bd3018506fed'
 '508ac5faa042c00b4881fdb044ec22a1' '50a6b12300875b1d5702ab57bcc76adb'
 '542e71d7d8d24c707e8aa684ca847c38' '556b05eca1c1694a4f7ac7a9aeef4d13'
 '560c1bc6f36029f367ef54b7a12138af' '5a23cb91ee6aebebc216620b08be0d41'
 '5a24be5be62e4c2b6089680d85a28bb2' '5a8cea5cfd5efda0dd2fbcb18978cfd4'
 '5aba713d34cf47d3a146255cb3b5584a' '5bdccd63cc7c923ee576d653cc4f83b7'
 '5ffa0e4028e6f5fb5d36d31c7b6baac1' '635eabb30b2c974b48872e2656108042'
 '662a878337a29f5a913958b8546c3eb5' '670d5b8f163e15e36907bb41ad7fb981'
 '6715eef1712e0d946549e6681a259bd0' '6b7528cd9ea8d789abe3c8ea558e0abe'
 '6b7d7bef02fe471453e86ff1551c6a7a' '6f664b027f5136242609cc38adf527b1'
 '71d4b3f37fec86c606f4be10b449c8f8' '72c428d19c253035db6c6e314742ef8c'
 '72ef77d14fd5f7379a4d83d84a21217c' '75a02e1fa0218f727556374d01a40ae6'
 '77440a6dc67b414b93e032c60ac86fca' '777d349ff472a2c8dff56fdc417e9ad6'
 '78c9461234ebe64ad91af16347b2afbd' '78ebb589250e60c469defdab2bfd42c0'
 '7af789bc7cfb0baad062c01598795734' '7b3ffa4aa3640fab05df340f23773806'
 '7c816fbd38dc2ec7d29db9c8f19bc5c6' '7d4a6d64f3da1057d18a58518005274b'
 '7e108a1f0876a82e34633eee74f96309' '7f0880f07529079291b15cc45b96a2de'
 '811e2aea35222d79c8ab2b4e1682750c' '81dfed839bbb088d66ed74faafa95382'
 '8317f7c931427b74d2356951f0383b72' '84d2fded9e5586dd584e403e106085ca'
 '84ff06dea81e5f41c6eb079567d55f16' '8524d4a8759107a21626d3501c4724e2'
 '8574f3834cc035915cdfb9d2eedd0dc1' '85866d97200f421b7d8eaa3b9663908c'
 '8778f2e1feedb2a804f63de12dfc56b3' '8844fa2234338bedbca82d8d3037e7d4'
 '8a315092dad843d4bcaf2d09091fb3be' '8b34a2b22abe94c075872bb4ab06d253'
 '8fbade2505b0850c4038ba4b0b013b29' '92e60b810f5507e207306d25d04c0814'
 '9843dda47d8fa4ee99109e43c28ae2c3' '99db7b89b640a0c2570b3bb8e21f43f7'
 '9a19753353f40064a6811288ab2c7556' '9be6b5fd2c5d01ecc07636596864b95e'
 '9e8879c44f400bef99b17abce60e5e94' '9ea072a756077acc1c0b5f1c59da3857'
 '9ec3183997e9b53cecc3d69523d6c509' 'a94ef355681ae5aeaab52a0ccc3bdf77'
 'a9baed6c1234760eb79ab79ad2e3c4b8' 'ab9239e37545bab393167cac4336ef7b'
 'aca5193f0679c6672a279110869b8758' 'ad2ff5cd62185a7e86d52e68285426d7'
 'bdac16159b60ffb7d6f9ffa4bc2f87d1' 'c129c0bc6ccf3512f0165c48e1049069'
 'c2ad2384fcd7d5fb0deb4af86a9380ba' 'c4a15b4c2991a5c14031f996e99ba460'
 'c7090e265fb62a1c444aee9773b4bea3' 'c9391913bcbf6c8ce05f702658ff0f0f'
 'ca5a65939fc04c9d28026d5c955aa877' 'cbed4d4646f17080ba6330956c14d83f'
 'cbf4462f3611d64fd6ecf0ba54555a49' 'ccde189789ac67cba39855daf5e2899d'
 'cfb84af0b32b80838186149eee2b7617' 'd03a5be917279f47816e4c9711cc5798'
 'd2e04ee9d1cdefef4e95bc5b34b0dbfb' 'da0fc02ebeaa7d8a244815162b4bce1a'
 'dc7f8f92d980ce2b57ed53931cacfbb6' 'e0908e3a059996366c190493e47922b1'
 'e1eb7906abef0df477bcdf943f251619' 'e799020bd4ed9106a95fb5715fef0d57'
 'e87ce9ead619379b75f606b5ed62c8d4' 'e8c68c9c41b007f2d476c4e03df49815'
 'e9282c280e5ee6794e75e1642753c546' 'e9920413a3f5993720991dcdf41c4f86'
 'e996589ad5cee0c543ed988a77081773' 'e9d3f68998cff4ee8aed538a49af5a55'
 'eab95c5e8ff4164dcfcbe12e60dd94ce' 'ec821b7ffc72d74c237ed12d21aba6f3'
 'efa0f2467e6242170a2d90a14385554e' 'f18e64cf0b56da58916cf12abceef1dd'
 'f2b9a3e3b16a5ef347d9b801f0c92955' 'f6c425bdd3bdadaa7f7b65901b875aa6'
 'fb27603a4f1a2d91a8945c606f9ec33a' 'fe67ca15be08a6b00a245e63131b8a03'
 'fe776e2fb42accc6008bfd9f9c017855' 'fed1b4e2531fa3c89795c65da306e3cf'
 'fef9c649ce6a269e3527f9c73e29aceb' 'ff5db536458a8abf6a70a74408c4dfec']","[ 0.02670596  0.0299291   0.03946036 ... -0.0263376  -0.01305369
  0.00430519]"
"d3835bf3dda84ead99deadbeac5d0d7d","CỔ PHIẾU LÔ LẺ","CỔ PHIẾU","Cổ phiếu lô lẻ là cổ phiếu có khối lượng từ 1 đến 99 cổ phiếu hoặc theo quy định pháp luật từng thời kỳ",2,"",['72c428d19c253035db6c6e314742ef8c'],"[ 0.04591275 -0.02450028  0.00599641 ... -0.01801221  0.00279143
  0.00604696]"
"077d2820ae1845bcbb1803379a3d1eae","NHÀ ĐẦU TƯ","NGƯỜI","""NHÀ ĐẦU TƯ là những cá nhân hoặc tổ chức tham gia vào hoạt động đầu tư trên thị trường chứng khoán. Họ có thể tham gia vào giao dịch chứng khoán, cổ phiếu, trái phiếu, cổ phiếu phái sinh và các loại hợp đồng tương lai. NHÀ ĐẦU TƯ mới, chưa có nhiều kinh nghiệm trên thị trường chứng khoán, nhưng họ có thể được khuyến nghị nắm giữ cổ phiếu từ 1 tháng trở lên với mức cắt lỗ là 10%/cổ phiếu. NHÀ ĐẦU TƯ cũng có thể tham gia vào giao dịch trái phiếu với MBS hoặc giao dịch cổ phiếu trực tiếp theo quy định của các Sở Giao dịch chứng khoán. Để giảm rủi ro và tối ưu hiệu quả đầu tư ngắn hạn, NHÀ ĐẦU TƯ có thể lựa chọn cổ phiếu đang có xu thế tích cực. Đồng thời, họ cần thời gian đầu tư đủ để giảm thiểu rủi ro biến động ngắn hạn.""",3,"","['078f14bae4d779e6ad5fad23e7f2ea43' '07ee7a0c9129745b5e378841be05c2ae'
 '0bd73ffe9a13d46d48e9c6980b189c06' '0e6d1961c112676304a1c82938f647f0'
 '0ef90d46880110c9301c8eb4b21ebb44' '15e19a9eed9e792a37f0ad41d3a965bd'
 '199aaf11765d80d02409aaab8b691903' '1b7afcab69384f4109d8537750df26a0'
 '1dab4da3dc6ce428ca1f1aff6469071c' '22d82491004a265aac66747d702a75e4'
 '2416bbdc682287235364cc5dcf3b768c' '241ba511a6b267992f84019bcafa5146'
 '26952620749ea86364db720687c3f0b2' '29750a46f9f48a342b820405acb02ca8'
 '3405d57ce2cb8930da5dfb2d59f15ce1' '35f219c5349bc5c6b800b555b7325333'
 '3df7788c67d82eb373cc637094d93edd' '4df4c580b88edb58280040957d2b13c5'
 '5745f5e4d87d8a641c08ff3c39924914' '5aba713d34cf47d3a146255cb3b5584a'
 '5b166187db4b621cb91cbcabbfbd460b' '5bdccd63cc7c923ee576d653cc4f83b7'
 '66cc93ab286227e785be2cd8302cab77' '6715eef1712e0d946549e6681a259bd0'
 '6aebc820a4158d720b76fe99d4786e12' '72c428d19c253035db6c6e314742ef8c'
 '77440a6dc67b414b93e032c60ac86fca' '811e2aea35222d79c8ab2b4e1682750c'
 '8247eaabe8d0db4fc1c5828f95e413ff' '82f6df8c73c78cf4fd7eed0d4e5e77b7'
 '8a22d1ed78856814aba3794bf1b450aa' '9843dda47d8fa4ee99109e43c28ae2c3'
 'a7afffd39fb1e0380ea66d364f749532' 'a9baed6c1234760eb79ab79ad2e3c4b8'
 'ab9239e37545bab393167cac4336ef7b' 'ac4cec82c21d6c2b8c5e2e9b3be742b8'
 'ad2ff5cd62185a7e86d52e68285426d7' 'b8530184c3071c97429601a06820847b'
 'c2ad2384fcd7d5fb0deb4af86a9380ba' 'cb848450d765573a20628fb40c1c5422'
 'cde81b63c0352bb90b98015501a3b422' 'da0fc02ebeaa7d8a244815162b4bce1a'
 'dac97e22f33a54daa033288fefb7670a' 'e5fa74b405fb017d2cffb093ab477001'
 'e87ce9ead619379b75f606b5ed62c8d4' 'e9282c280e5ee6794e75e1642753c546'
 'e996589ad5cee0c543ed988a77081773' 'eac76d5cf62bdb175682def4193cbc29'
 'f2b9a3e3b16a5ef347d9b801f0c92955' 'fb91f31375af53453d052fdff50f6187'
 'fe67ca15be08a6b00a245e63131b8a03']","[ 0.00578688 -0.00274939  0.02700211 ... -0.01592509  0.00494244
  0.00660151]"
"3671ea0dd4e84c1a9b02c5ab2c8f4bac","SỞ GIAO DỊCH CHỨNG KHOÁN","TỔ CHỨC","Sở GIAO DỊCH CHỨNG KHOÁN is a financial organization that is involved in managing and executing stock market transactions. They are responsible for overseeing and operating the securities market.",4,"","['38dd0921ac731174a59ec6e94eeab28b' '8574f3834cc035915cdfb9d2eedd0dc1'
 'd03a5be917279f47816e4c9711cc5798']","[-0.00834789  0.03113511 -0.0176723  ...  0.02516217  0.01915132
  0.0230195 ]"
"19a7f254a5d64566ab5cc15472df02de","CÔNG TY CHỨNG KHOÁN","TỔ CHỨC","Công ty chứng khoán là tổ chức cung cấp dịch vụ giao dịch chứng khoán cho khách hàng",5,"",['8574f3834cc035915cdfb9d2eedd0dc1'],"[-0.00360761  0.01123448 -0.05983073 ... -0.01938658 -0.00438023
  0.00635134]"
"e7ffaee9d31d4d3c96e04f911d0a8f9e","KHÁCH HÀNG","NGƯỜI","""KHÁCH HÀNG là những cá nhân hoặc tổ chức sử dụng dịch vụ giao dịch chứng khoán, đầu tư chứng khoán và các sản phẩm, dịch vụ của MBS. Họ cung cấp dữ liệu cá nhân cho MBS, tham gia giao dịch trên ứng dụng di động, cần biết về bảo mật thông tin cá nhân và có trách nhiệm bảo mật thông tin. Khách hàng cũng có thể tham gia giao dịch trái phiếu, tương tác trực tiếp với MBS, và được cung cấp dịch vụ tư vấn đầu tư hiệu quả.""",6,"","['008d65e4640a5208f1016c02bde466fa' '0155a5af5c1988637b742a0797735194'
 '016f43c5ba92b8259d4a288f96a46817' '02d2277b6e803b3a6f72b3721eb23490'
 '0318240c7b8fd392bf7ac9b77955c1bf' '040eeb0720e09da6eb2c8c738363f73b'
 '084712776af45fb46dcf1027340a40b7' '0f8aa8ebfb90aaa521f8729d6eebd88a'
 '10955923af33dd58454b796b2da93d07' '10c4087ea9328fcec618be8c8c72a545'
 '1170f02c4f72abe944971b085d7e2626' '13526d7718fb859960383037dbbaf4e4'
 '16e0ed7f7ab6b92d2c5616655df1ed00' '17dce7613a6c56003b6c2cd4b5074283'
 '1a7a2ff68d41451fd234f3b95d8f9438' '1b7754026ba47eeb65fc0fbd78b1c0f7'
 '1cd97c98e1c0d5f114e9004dbdea93ea' '1d3c82fc7b0630a6c46863b979a2af4c'
 '1dc33c657628dd4ef956950e220b70da' '1fb6362cb4b546e723baef4dcb5c1be5'
 '202265b0fffd28a9b77f9e17d1fcc200' '20e0df85ac24e24c4e87ae59c728636a'
 '21e832b2ab519ad1e3a8ac46ab4842fe' '25fe70f4e78e841093d4e470427c5217'
 '26aeb6f00d5522b71f5210e7e66a2cb7' '2a4dfba4750588906f2098f45d6ef795'
 '2b16421c02f2ac235ddc41778b2e16f2' '2bd9d64dccdbf2ad7cb29afe2ccc3479'
 '2bef9f2520b250df2955e1148e863a15' '2c3ae7491cabfdc2946c79ea584fb1ca'
 '2c4f225a4026bac08c45411f5f164b08' '2ca4dd87df7a7297bd3a223b08f539bd'
 '2d8598614a3b2a6df74b101ab9d9f3db' '2e9c77aefcb96dfde90c451bba99ea10'
 '3df7788c67d82eb373cc637094d93edd' '3f8b6d62e8bb7c6f21608de7fea4ba02'
 '40935643bba261a08331db8f80b4daff' '43fe3eabe57a1961a64491c86cb08d67'
 '4a056777579e17ab8df83067d9738864' '4afd356aec4d6f5d391159dd033f2e2b'
 '4d11c4b0dc5844f6a10fadd077fa6077' '4de94a9646e4fa0e3488ab9431283633'
 '4e5d43d52ee94db71358bd3018506fed' '508ac5faa042c00b4881fdb044ec22a1'
 '50a6b12300875b1d5702ab57bcc76adb' '542e71d7d8d24c707e8aa684ca847c38'
 '556b05eca1c1694a4f7ac7a9aeef4d13' '560c1bc6f36029f367ef54b7a12138af'
 '5a24be5be62e4c2b6089680d85a28bb2' '5a8cea5cfd5efda0dd2fbcb18978cfd4'
 '5bdccd63cc7c923ee576d653cc4f83b7' '5d4276addc2f2965b4d5be07d544a40c'
 '61fb908630d3c280e95911db487c62e4' '635eabb30b2c974b48872e2656108042'
 '662a878337a29f5a913958b8546c3eb5' '6742be446922dd121eefd8afff18537b'
 '6b7528cd9ea8d789abe3c8ea558e0abe' '6b7d7bef02fe471453e86ff1551c6a7a'
 '6f128a0a28b0677d871bbdd1920eed09' '6f664b027f5136242609cc38adf527b1'
 '71d4b3f37fec86c606f4be10b449c8f8' '72ef77d14fd5f7379a4d83d84a21217c'
 '75a02e1fa0218f727556374d01a40ae6' '777d349ff472a2c8dff56fdc417e9ad6'
 '78c9461234ebe64ad91af16347b2afbd' '78ebb589250e60c469defdab2bfd42c0'
 '7a9d013be64113ac0b686f7835ad3646' '7af789bc7cfb0baad062c01598795734'
 '7b3ffa4aa3640fab05df340f23773806' '7c816fbd38dc2ec7d29db9c8f19bc5c6'
 '7d4a6d64f3da1057d18a58518005274b' '7e108a1f0876a82e34633eee74f96309'
 '7f0880f07529079291b15cc45b96a2de' '81dfed839bbb088d66ed74faafa95382'
 '8247eaabe8d0db4fc1c5828f95e413ff' '8317f7c931427b74d2356951f0383b72'
 '839b9207b75bf3ace550391324a33388' '84ff06dea81e5f41c6eb079567d55f16'
 '8524d4a8759107a21626d3501c4724e2' '8574f3834cc035915cdfb9d2eedd0dc1'
 '85866d97200f421b7d8eaa3b9663908c' '858692a6991a43581eb17b695978b12c'
 '8778f2e1feedb2a804f63de12dfc56b3' '8844fa2234338bedbca82d8d3037e7d4'
 '8a315092dad843d4bcaf2d09091fb3be' '8b34a2b22abe94c075872bb4ab06d253'
 '8fbade2505b0850c4038ba4b0b013b29' '92e60b810f5507e207306d25d04c0814'
 '97543c44edcfe91806ae4966fb27036a' '9843dda47d8fa4ee99109e43c28ae2c3'
 '99db7b89b640a0c2570b3bb8e21f43f7' '9a19753353f40064a6811288ab2c7556'
 '9be6b5fd2c5d01ecc07636596864b95e' '9ea072a756077acc1c0b5f1c59da3857'
 '9ec3183997e9b53cecc3d69523d6c509' 'a94ef355681ae5aeaab52a0ccc3bdf77'
 'aec0495f6dbc3f5896ec07ec7ebe251e' 'b7d7a176a30e0cad4e21d20d4ed670ba'
 'bdac16159b60ffb7d6f9ffa4bc2f87d1' 'bfdf3977c46f0ead15f3f8c1c9c39f40'
 'c129c0bc6ccf3512f0165c48e1049069' 'c7090e265fb62a1c444aee9773b4bea3'
 'ca5a65939fc04c9d28026d5c955aa877' 'cbed4d4646f17080ba6330956c14d83f'
 'cbf4462f3611d64fd6ecf0ba54555a49' 'cc4a8818601cdc620d55eef2b6ed49f7'
 'ccdc87603fa2414f50c8b18e3ab78c70' 'cde81b63c0352bb90b98015501a3b422'
 'd03a5be917279f47816e4c9711cc5798' 'd2e04ee9d1cdefef4e95bc5b34b0dbfb'
 'd39928803a30957c678ba7bfc7335744' 'd85a9f80c3a8b981f89c9aeaf3defe13'
 'db743da6be29d97ffc8abdd6d3be4aef' 'e0908e3a059996366c190493e47922b1'
 'e11ca4f8828577aaf7126b6cb523dc0c' 'e799020bd4ed9106a95fb5715fef0d57'
 'e8d077c7aea2ce872593c6e0d8ad3df4' 'e9920413a3f5993720991dcdf41c4f86'
 'e9d3f68998cff4ee8aed538a49af5a55' 'efa0f2467e6242170a2d90a14385554e'
 'f18e64cf0b56da58916cf12abceef1dd' 'f702c7b6765a8888a8ea861f2a4c014d'
 'fed1b4e2531fa3c89795c65da306e3cf' 'fef9c649ce6a269e3527f9c73e29aceb'
 'ff5db536458a8abf6a70a74408c4dfec']","[ 0.04799872  0.02285944  0.01274266 ... -0.00976055 -0.03185665
 -0.00527212]"
"f7e11b0e297a44a896dc67928368f600","CỔ PHIẾU","TÀI SẢN","Cổ Phiếu are securities representing ownership rights of shareholders in a company and are tradable assets on the stock market. They are carefully selected by the research team and recommended for trading between T+5 to T+10. Investors can buy and sell these assets on the stock market. It is advised for investors to focus on the top 2% of stocks with the highest scores and consider holding them for at least one month with a profit margin of 10% per stock.",7,"","['1b7afcab69384f4109d8537750df26a0' '1d3c82fc7b0630a6c46863b979a2af4c'
 '26aeb6f00d5522b71f5210e7e66a2cb7' '3405d57ce2cb8930da5dfb2d59f15ce1'
 '4df4c580b88edb58280040957d2b13c5' '5f9d5c30d0a45936539e58a40065c8ab'
 '8574f3834cc035915cdfb9d2eedd0dc1' 'b8530184c3071c97429601a06820847b'
 'dfd98af875b627510a891c3d4e375775' 'eab95c5e8ff4164dcfcbe12e60dd94ce'
 'eac76d5cf62bdb175682def4193cbc29']","[ 0.05953301  0.0133172  -0.02157043 ... -0.00683578  0.0230679
 -0.0188727 ]"
"1fd3fa8bb5a2408790042ab9573779ee","VSD","TỔ CHỨC","VSD is a Vietnamese Stock Depository organization that specializes in securities depository services in Vietnam. They are actively involved in facilitating off-exchange securities transactions.",8,"","['2e9c77aefcb96dfde90c451bba99ea10' '8574f3834cc035915cdfb9d2eedd0dc1'
 'ab9239e37545bab393167cac4336ef7b']","[-0.00730697 -0.02420727 -0.00297729 ...  0.0038008  -0.01426037
  0.01003529]"
"27f9fbe6ad8c4a8b9acee0d3596ed57c","GIÁ GIAO DỊCH","THÔNG TIN GIAO DỊCH","Giá giao dịch là giá sàn của cổ phiếu tại ngày hoàn tất giao dịch trên hệ thống MBS (sau khi VSD hoàn thành chuyển quyền sở hữu chứng khoán cho MBS)",9,"",['eab95c5e8ff4164dcfcbe12e60dd94ce'],"[ 0.04304774 -0.00755764  0.01003326 ...  0.02100072 -0.01455477
  0.02156124]"
