"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"BÁN CHỨNG KHOÁN LÔ LẺ","MBS",1.0,"Bán chứng khoán lô lẻ thông qua dịch vụ giao dịch của MBS",['72c428d19c253035db6c6e314742ef8c'],"6deaefe707f84b3dbda979dea0d095ac","0",1,122,123
"MBS","KHÁCH HÀNG",56.0,"""The entity KHÁCH HÀNG is responsible for providing accurate personal data to MBS when establishing relationships, executing contracts, and throughout product usage. KHÁCH HÀNG is also involved in trading activities with MBS and is considered a partner in data processing. Additionally, KHÁCH HÀNG has the right to make decisions in writing regarding the use of services, products, or access to MBS platforms. MBS ensures the security of personal data provided by KHÁCH HÀNG and offers a variety of financial services and securities trading options. The relationship between KHÁCH HÀNG and MBS is governed by agreements, contracts, and legal documents.""","['008d65e4640a5208f1016c02bde466fa' '016f43c5ba92b8259d4a288f96a46817'
 '02d2277b6e803b3a6f72b3721eb23490' '0318240c7b8fd392bf7ac9b77955c1bf'
 '040eeb0720e09da6eb2c8c738363f73b' '084712776af45fb46dcf1027340a40b7'
 '0f8aa8ebfb90aaa521f8729d6eebd88a' '10c4087ea9328fcec618be8c8c72a545'
 '1a7a2ff68d41451fd234f3b95d8f9438' '1dc33c657628dd4ef956950e220b70da'
 '1fb6362cb4b546e723baef4dcb5c1be5' '2b16421c02f2ac235ddc41778b2e16f2'
 '2c4f225a4026bac08c45411f5f164b08' '2d8598614a3b2a6df74b101ab9d9f3db'
 '3df7788c67d82eb373cc637094d93edd' '3f8b6d62e8bb7c6f21608de7fea4ba02'
 '40935643bba261a08331db8f80b4daff' '4a056777579e17ab8df83067d9738864'
 '4afd356aec4d6f5d391159dd033f2e2b' '556b05eca1c1694a4f7ac7a9aeef4d13'
 '560c1bc6f36029f367ef54b7a12138af' '5a8cea5cfd5efda0dd2fbcb18978cfd4'
 '5bdccd63cc7c923ee576d653cc4f83b7' '6f664b027f5136242609cc38adf527b1'
 '71d4b3f37fec86c606f4be10b449c8f8' '75a02e1fa0218f727556374d01a40ae6'
 '777d349ff472a2c8dff56fdc417e9ad6' '78ebb589250e60c469defdab2bfd42c0'
 '7af789bc7cfb0baad062c01598795734' '7b3ffa4aa3640fab05df340f23773806'
 '7c816fbd38dc2ec7d29db9c8f19bc5c6' '7d4a6d64f3da1057d18a58518005274b'
 '7f0880f07529079291b15cc45b96a2de' '8317f7c931427b74d2356951f0383b72'
 '84ff06dea81e5f41c6eb079567d55f16' '8524d4a8759107a21626d3501c4724e2'
 '8574f3834cc035915cdfb9d2eedd0dc1' '8778f2e1feedb2a804f63de12dfc56b3'
 '8844fa2234338bedbca82d8d3037e7d4' '8a315092dad843d4bcaf2d09091fb3be'
 '9ea072a756077acc1c0b5f1c59da3857' '9ec3183997e9b53cecc3d69523d6c509'
 'a94ef355681ae5aeaab52a0ccc3bdf77' 'bdac16159b60ffb7d6f9ffa4bc2f87d1'
 'c7090e265fb62a1c444aee9773b4bea3' 'ca5a65939fc04c9d28026d5c955aa877'
 'cbed4d4646f17080ba6330956c14d83f' 'cbf4462f3611d64fd6ecf0ba54555a49'
 'e0908e3a059996366c190493e47922b1' 'e9920413a3f5993720991dcdf41c4f86'
 'e9d3f68998cff4ee8aed538a49af5a55' 'fed1b4e2531fa3c89795c65da306e3cf'
 'fef9c649ce6a269e3527f9c73e29aceb' 'ff5db536458a8abf6a70a74408c4dfec']","d053ea9432a24fb192e8d6aa993b0caa","1",122,118,240
"MBS","CỔ PHIẾU",3.0,"""MBS is a company that does not repurchase Cổ Phiếu stocks, specifically Cổ Phiếu of MBB, stocks of the company and group, and stocks that are about to be delisted. The trading price of Cổ Phiếu is the price at the completion date of the transaction on the MBS system. MBS repurchases delisted stocks according to the repurchase category in each phase.""","['1d3c82fc7b0630a6c46863b979a2af4c' '8574f3834cc035915cdfb9d2eedd0dc1'
 'eab95c5e8ff4164dcfcbe12e60dd94ce']","a3e683d294ed42a28d60d09a36cbeb54","2",122,9,131
"MBS","VSD",1.0,"VSD hoàn thành chuyển quyền sở hữu chứng khoán cho MBS",['8574f3834cc035915cdfb9d2eedd0dc1'],"39887ca8567141d5b857b87a2bca4086","3",122,2,124
"MBS","MBB",1.0,"MBS không mua lại cổ phiếu lô lẻ MBB",['eab95c5e8ff4164dcfcbe12e60dd94ce'],"8df8563ab0394ee9a91b89dea7d59404","4",122,1,123
"MBS","HỆ THỐNG GIAO DỊCH TRỰC TUYẾN",1.0,"Hệ thống giao dịch trực tuyến của MBS là dịch vụ cung cấp cho khách hàng",['1d3c82fc7b0630a6c46863b979a2af4c'],"12398f70065143839d812fd42ac4b2e7","5",122,4,126
"MBS","GIẤY PHÉP",1.0,"Giấy phép được Ủy ban chứng khoán Nhà nước cấp cho MBS",['1d3c82fc7b0630a6c46863b979a2af4c'],"74d43d20f251441baf8e3db64fedca43","6",122,1,123
"MBS","ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC",1.0,"Ủy ban chứng khoán Nhà nước cấp giấy phép cho MBS cung cấp dịch vụ giao dịch chứng khoán trực tuyến",['9ea072a756077acc1c0b5f1c59da3857'],"1b7a22f76f7741e8b140bdc3d8856d76","7",122,1,123
"MBS","RỦI RO",1.0,"MBS cam kết cố gắng hết sức trong việc giảm thiểu rủi ro cho khách hàng",['8778f2e1feedb2a804f63de12dfc56b3'],"b823ba1bfe944fa9887edd8faf8a5f17","8",122,6,128
"MBS","SỞ GIAO DỊCH CHỨNG KHOÁN",1.0,"""Đường truyền kết nối từ MBS đến các Sở Giao dịch Chứng khoán bị lỗi, ngừng hoạt động, khiến cho giao dịch của Khách hàng bị chậm thực hiện""",['d03a5be917279f47816e4c9711cc5798'],"d0bfb473fdc64643954cdb4675e2f389","9",122,12,134
"MBS","NGUYÊN NHÂN",1.0,"MBS không chịu trách nhiệm",['aca5193f0679c6672a279110869b8758'],"a4db1b2a9c3e4d2d838725f8166c36b4","10",122,1,123
"MBS","THÔNG TIN BẢO MẬT",1.0,"MBS không chịu trách nhiệm nếu khách hàng để lộ thông tin bảo mật",['7f0880f07529079291b15cc45b96a2de'],"8dae140578c841ae9373cbc607c4a6e6","11",122,1,123
"MBS","BỘ PHẬN QUẢN LÝ",1.0,"Bộ phận quản lý không thuộc các chi nhánh hoặc sàn giao dịch của MBS",['8a315092dad843d4bcaf2d09091fb3be'],"b215cc33cf40434f87f284ff8f3506a4","12",122,1,123
"MBS","GIAO DỊCH TRÁI PHIẾU",1.0,"MBS tham gia vào việc bán cổ phiếu lẻ trong giao dịch trái phiếu",['6715eef1712e0d946549e6681a259bd0'],"c1ff9d8e1b8745d6860c34ce26122d79","13",122,8,130
"MBS","SAO KÊ",1.0,"MBS lập xác nhận số dư tài khoản cho khách hàng",['635eabb30b2c974b48872e2656108042'],"9d1e6ca9ae8e4e068fb74631a633b20b","14",122,2,124
"MBS","XÁC NHẬN SỐ DƯ TÀI KHOẢN",1.0,"MBS lập xác nhận số dư tài khoản",['662a878337a29f5a913958b8546c3eb5'],"1d7b0deca7674777bf76c163ac065845","15",122,1,123
"MBS","NHÀ ĐẦU TƯ CHUYÊN NGHIỆP",1.0,"Nhà đầu tư chuyên nghiệp không cần phí xác nhận khi có hợp đồng với tổ chức phát hành hoặc MBS",['e8c68c9c41b007f2d476c4e03df49815'],"03afe9988f864c9fa501bfbf043f74c0","16",122,2,124
"MBS","HỢP ĐỒNG",1.0,"MBS phân phối trái phiếu theo hợp đồng với tổ chức phát hành",['e8c68c9c41b007f2d476c4e03df49815'],"4084f614af494fa8ab73095fb5b6b07b","17",122,5,127
"MBS","TỔ CHỨC PHÁT HÀNH",1.0,"Tổ chức phát hành có thể hợp tác với MBS để phân phối trái phiếu",['26827ec7b673b1b365b796c999c26d3c'],"3ce25564af6e47f390a0b16b6f9433a1","18",122,5,127
"MBS","NGÂN HÀNG",1.0,"MBS làm trung gian thu phí chuyển khoản theo biểu phí của ngân hàng MB hoặc ngân hàng khác",['26827ec7b673b1b365b796c999c26d3c'],"78213664d0eb45d1a9239ba4b85b10f7","19",122,2,124
"MBS","PHÍ DỊCH VỤ SMS",1.0,"MBS cung cấp các gói phí dịch vụ tin nhắn (SMS) cho khách hàng",['0b7912396c8cde985ddee6dc17ec0d4f'],"1226e4a4077b4b3a970db4d2509b590c","20",122,1,123
"MBS","CÁC ĐIỀU KHOẢN VÀ ĐIỀU KIỆN",1.0,"""Các Điều khoản và Điều kiện áp dụng cho tất cả các Chủ tài khoản và các sửa đổi, bổ sung của Các Điều khoản và Điều kiện này được MBS thực hiện trong từng thời kỳ""",['9be6b5fd2c5d01ecc07636596864b95e'],"b4c7de7a824a4a71b9f52193d2f1a10d","21",122,2,124
"MBS","ĐIỀU KHOẢN VÀ ĐIỀU KIỆN VỀ GIAO DỊCH CHỨNG KHOÁN PHÁI SINH",1.0,"""MBS thực hiện các sửa đổi, bổ sung của Điều khoản và Điều kiện về giao dịch chứng khoán phái sinh""",['5ffa0e4028e6f5fb5d36d31c7b6baac1'],"b609f1939dae4c7383c7d199bb3c7dc3","22",122,2,124
"MBS","HỢP ĐỒNG GIAO DỊCH CHỨNG KHOÁN PHÁI SINH",1.0,"Hợp đồng giao dịch chứng khoán phái sinh là hợp đồng giữa Khách hàng và MBS",['5ffa0e4028e6f5fb5d36d31c7b6baac1'],"aeee2f443dfb4e3ea80af6ae1d9197ce","23",122,1,123
"MBS","TÀI KHOẢN PHÁI SINH",1.0,"Tài khoản phái sinh được sử dụng và cung cấp bởi MBS",['e9282c280e5ee6794e75e1642753c546'],"8c46d37bc26e4d4dbd37d6ee26867bc6","24",122,3,125
